"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-01","0.00","0.0","0.0","32","17"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-02","0.00","0.0","0.0","36","20"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-03","0.59","0.3","0.0","37","31"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-04","0.18","1.6","2.0","36","5"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-05","0.15","2.3","4.0","10","-1"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-06","0.01","0.3","3.0","12","5"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-07","0.00","0.0","3.0","8","-4"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-08","0.10","2.0","4.0","20","-7"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-09","0.00","0.0","3.0","16","3"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-10","0.00","0.0","3.0","26","0"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-11","0.10","1.4","4.0","34","25"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-12","0.05","0.9","5.0","30","19"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-13","0.00","0.0","4.0","23","13"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-14","0.00",,"4.0","21","5"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-15","0.00","0.0","3.0","36","17"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-16","0.00","0.0","3.0","35","22"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-17","0.00","0.0","1.0","44","30"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-18","0.00","0.0","0.0","43","31"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-19","0.00","0.0","0.0","43","27"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-20","0.01","0.0","0.0","40","33"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-21","0.00","0.1","0.0","36","31"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-22","0.00","0.0","0.0","34","30"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-23","0.00","0.0","0.0","34","30"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-24","0.00","0.0","0.0","45","32"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-25","0.13","0.4","0.0","38","26"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-26","0.05","0.7","1.0","29","21"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-27","0.00","0.1","0.0","33","24"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-28","0.01","0.0","0.0","36","24"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-29","0.00","0.0","0.0","39","31"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-30","0.00","0.0","0.0","32","23"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-01-31","0.17","1.2","1.0","39","23"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-01","1.34","17.2","16.0","33","21"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-02","0.03","0.8","17.0","22","9"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-03","0.07","1.1","17.0","30","8"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-04","0.06","0.9","16.0","30","12"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-05","0.00","0.0","15.0","17","3"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-06","0.00","0.0","14.0","32","15"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-07","0.00","0.0","10.0","44","25"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-08","0.00","0.0","7.0","42","31"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-09","0.00","0.1","6.0","31","26"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-10","0.00","0.0","6.0","33","25"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-11","0.00","0.0","5.0","38","21"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-12","0.00","0.2","5.0","21","11"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-13","0.00","0.0","5.0","29","7"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-14","0.00","0.2","5.0","29","4"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-15","0.02","0.6","5.0","17","0"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-16","0.00","0.0","5.0","19","8"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-17","0.01","0.4","5.0","22","11"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-18","0.00","0.0","5.0","11","0"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-19","0.00","0.0","5.0","7","-5"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-20","0.00","0.2","5.0","20","-1"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-21","0.00","0.0","5.0","33","19"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-22","0.00","0.0","5.0","30","7"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-23","0.00","0.0","5.0","15","0"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-24","0.00","0.0","5.0","32","6"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-25","0.15","2.4","7.0","28","16"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-26","0.18","4.0","10.0","22","7"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-27","0.00","0.0","9.0","17","0"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-02-28","0.01","0.2","8.0","23","1"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-01","0.01","0.2","8.0","27","18"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-02","0.00","0.0","7.0","34","16"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-03","0.09","0.6","7.0","37","27"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-04","0.00","0.0","7.0","33","14"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-05","0.00","0.0","7.0","19","8"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-06","0.00","0.0","7.0","28","6"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-07","0.00","0.0","6.0","46","26"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-08","0.00","0.0","6.0","42","31"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-09","0.00","0.0","1.0","52","28"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-10","0.00","0.0","0.0","55","37"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-11","0.00","0.0","0.0","54","36"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-12","0.00","0.0","0.0","58","33"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-13","0.00","0.0","0.0","65","41"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-14","0.00","0.0","0.0","62","40"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-15","0.00","0.0","0.0","64","34"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-16","0.00","0.0","0.0","74","44"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-17","0.00","0.0","0.0","44","31"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-18","0.00","0.0","0.0","50","30"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-19","0.00","0.0","0.0","50","41"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-20","0.00","0.0","0.0","52","39"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-21","0.00","0.0","0.0","50","35"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-22","0.00","0.0","0.0","37","30"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-23","0.43","5.1","5.0","32","30"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-24","0.05","0.0","0.0","40","25"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-25","0.16","0.0","0.0","43","38"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-26","0.00","0.0","0.0","46","34"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-27","0.04","0.6","0.0","34","25"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-28","0.00","0.0","0.0","37","21"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-29","0.03","0.0","0.0","51","28"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-30","0.00","0.0","0.0","64","37"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-03-31","0.00","0.0","0.0","57","41"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-01","0.00","0.0","0.0","74","41"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-02","0.41","0.0","0.0","68","50"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-03","0.00","0.0","0.0","57","33"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-04","0.00","0.0","0.0","61","31"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-05","0.00","0.0","0.0","69","47"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-06","0.12","0.0","0.0","64","41"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-07","0.05","0.0","0.0","49","40"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-08","0.12","0.0","0.0","54","43"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-09","0.96","0.0","0.0","74","46"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-10","0.00","0.0","0.0","65","42"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-11","0.00","0.0","0.0","64","39"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-12","0.00","0.0","0.0","71","47"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-13","0.14","0.0","0.0","69","53"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-14","0.00","0.0","0.0","67","46"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-15","0.00","0.0","0.0","67","44"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-16","0.42","0.0","0.0","64","47"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-17","0.00","0.0","0.0","80","49"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-18","0.00","0.0","0.0","68","50"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-19","0.46","0.0","0.0","69","51"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-20","0.01","0.0","0.0","56","43"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-21","0.00","0.0","0.0","58","41"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-22","0.00","0.0","0.0","49","37"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-23","0.00","0.0","0.0","56","34"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-24","0.33","0.0","0.0","60","35"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2015-04-25","0.38","0.0","0.0","49","40"
